[GIN] 2026/06/02 - 14:55:16 | 200 |      9.0191ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:55:17 | 200 |      5.0751ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:55:17 | 200 |       4.467ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:55:20 | 200 |       550.8µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:55:20 | 200 |     15.6096ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:55:20 | 200 |    360.5217ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:55:20 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:55:26 | 200 |     24.1085ms |       127.0.0.1 | POST     "/api/production-lines/line-15/assign"
[GIN] 2026/06/02 - 14:55:26 | 200 |      7.7998ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:55:26 | 200 |    340.5922ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:55:26 | 200 |    321.0524ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:55:51 | 200 |      6.8938ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:55:51 | 200 |    330.1315ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:06:02 | 200 |       519.2µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:06:02 | 200 |      8.0742ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:06:02 | 200 |    317.5594ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:06:03 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:06:04 | 200 |       509.4µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:06:04 | 200 |      1.4335ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:06:04 | 200 |       526.3µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 15:06:04 | 200 |     86.2749ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 15:06:04 | 200 |      4.8089ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:06:04 | 200 |      5.7863ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:06:05 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:06:06 | 200 |       530.5µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:06:06 | 200 |      7.7576ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:06:06 | 200 |    352.7187ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:06:06 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:06:29 | 200 |      1.0649ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:06:29 | 200 |     26.6014ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:06:30 | 200 |    463.0664ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:06:30 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:06:33 | 200 |         536µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:06:33 | 200 |       516.2µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:06:33 | 200 |       520.3µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 15:06:33 | 200 |     73.7341ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 15:06:33 | 200 |      4.9964ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:06:33 | 200 |       5.213ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:06:34 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:06:45 | 200 |     17.5468ms |       127.0.0.1 | POST     "/api/batches/BATCH-202606-XS-002-06333582/confirm"
[GIN] 2026/06/02 - 15:06:45 | 200 |      5.5047ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:06:45 | 200 |      7.8935ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:06:45 | 200 |      5.0131ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:06:45 | 200 |      5.2399ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:07:01 | 200 |      1.0297ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:07:01 | 200 |       514.9µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:07:01 | 200 |       517.6µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 15:07:01 | 200 |     74.7455ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 15:07:01 | 200 |      4.9797ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:07:01 | 200 |      4.7118ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 15:07:02 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:07:04 | 200 |       518.2µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:07:04 | 200 |      7.7895ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:07:04 | 200 |    359.2673ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:07:04 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:07:06 | 200 |     24.6089ms |       127.0.0.1 | POST     "/api/production-lines/line-16/assign"
[GIN] 2026/06/02 - 15:07:07 | 200 |       9.705ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:07:07 | 200 |    372.1271ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:07:07 | 200 |    346.6529ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:07:33 | 200 |      8.4131ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:07:33 | 200 |     437.643ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:50:29 | 200 |         536µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:50:29 | 200 |     10.1365ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 15:50:30 | 200 |    428.2786ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 15:50:30 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 15:51:30 | 200 |       531.6µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:51:30 | 200 |       530.8µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 15:51:30 | 200 |         531µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 15:51:30 | 200 |     87.5873ms |       127.0.0.1 | POST     "/api/forecast/recompute"
